name,categories,difficulty,series
Goomba,Battle,Easy,"Nintendo, Mario"
Koopa Troopa,Battle,Easy,"Nintendo, Mario"
Boom Boom,"Boss, Dungeon",Easy,"Nintendo, Mario"
King Bob-omb,Boss,Easy,"Nintendo, Mario"
Whomp King,Boss,Easy,"Nintendo, Mario"
Pom Pom,Boss,Easy,"Nintendo, Mario"
King Boo,"Boss, Spooky",Lunatic,"Nintendo, Mario"
Petey Piranha,Boss,Normal,"Nintendo, Mario"
Galoomba,Battle,Easy,"Nintendo, Mario"
Goombrats,Battle,Easy,"Nintendo, Mario"
Hammer Bro,Battle,Normal,"Nintendo, Mario"
Lakitu,Battle,Normal,"Nintendo, Mario"
Magikoopa,Battle,Tough,"Nintendo, Mario"
Dry Bones,"Battle, Spooky, Dungeon",Normal,"Nintendo, Mario"
Shy Guy,Battle,Easy,"Nintendo, Mario"
Piranha Plant,"Battle, Nature, Forest",Normal,"Nintendo, Mario"
Blooper,"Battle, Aquatic",Normal,"Nintendo, Mario"
Cheep Cheep,"Battle, Aquatic",Easy,"Nintendo, Mario"
Thwomp,Battle,Tough,"Nintendo, Mario"
Bullet Bill,Battle,Easy,"Nintendo, Mario"
Bob-omb,"Battle, Dungeon",Easy,"Nintendo, Mario"
Pokey,"Battle, Desert",Tough,"Nintendo, Mario"
Ninji,Battle,Lunatic,"Nintendo, Mario"
Fuzzy,Battle,Tough,"Nintendo, Mario"
Bully,Battle,Tough,"Nintendo, Mario"
Chain Chomp,Battle,Merciless,"Nintendo, Mario"
Amp,Battle,Lunatic,"Nintendo, Mario"
Gary,"Battle, Character",Easy,"Nintendo, Mario"
Bowser,Final Boss,Easy,"Nintendo, Mario"
Mario,"Character, Locale",Easy,"Nintendo, Mario"
Luigi,"Character, Locale",Easy,"Nintendo, Mario"
Princess Peach,"Character, Town & City",Easy,"Nintendo, Mario"
Rosalina,"Character, Space",Merciless,"Nintendo, Mario"
Luma,"Character, Space",Easy,"Nintendo, Mario"
Lubba,"Character, Space",Normal,"Nintendo, Mario"
Daisy,"Character, Desert",Merciless,"Nintendo, Mario"
Waluigi,"Character, Adversary",Easy,"Nintendo, Mario"
Wario,"Character, Adversary",Tough,"Nintendo, Mario, Wario, WarioWare"
Captain Syrup,"Character, Adversary, Aquatic",Lunatic,"Nintendo, Wario"
Cackletta,Final Boss,Lunatic,"Nintendo, Mario"
Shadow Queen,Final Boss,Merciless,"Nintendo, Mario"
Shadow Queen (Peach),Final Boss,Lunatic,"Nintendo, Mario"
Grodus,"Boss, Space",Merciless,"Nintendo, Mario"
